,item_type,supplier,time_interval,units_to_order,expected_units_recieved
0,1,1,1,18000,2000
1,1,1,2,0,2000
2,1,1,3,0,2000
3,1,1,4,0,5400
4,1,1,5,0,5400
5,1,1,6,0,3600
6,1,1,7,0,3600
7,1,1,8,0,0
8,1,1,9,0,0
9,1,1,10,0,0
10,1,2,1,9000,2000
11,1,2,2,0,2000
12,1,2,3,0,2000
13,1,2,4,0,2700
14,1,2,5,0,2700
15,1,2,6,0,1800
16,1,2,7,0,1800
17,1,2,8,0,0
18,1,2,9,0,0
19,1,2,10,0,0
20,1,3,1,9000,2000
21,1,3,2,9000,4700
22,1,3,3,7800,6500
23,1,3,4,0,5940
24,1,3,5,0,3360
25,1,3,6,0,1560
26,1,3,7,0,0
27,1,3,8,0,0
28,1,3,9,0,0
29,1,3,10,0,0
30,1,4,1,9000,2000
31,1,4,2,0,2000
32,1,4,3,0,2000
33,1,4,4,0,2700
34,1,4,5,0,2700
35,1,4,6,0,1800
36,1,4,7,0,1800
37,1,4,8,0,0
38,1,4,9,0,0
39,1,4,10,0,0
